#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string
#default,mean,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,building,companyDomain,device_id,location,origin,place
,,0,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:30:40Z,32.51420840320222,value,available_percent,gyeongnam_campus,javame,192.168.71.74,mem,server_data,server_room
,,0,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:30:50Z,32.483088200484865,value,available_percent,gyeongnam_campus,javame,192.168.71.74,mem,server_data,server_room
,,0,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:31:00Z,32.50957400952293,value,available_percent,gyeongnam_campus,javame,192.168.71.74,mem,server_data,server_room
,,0,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:31:10Z,32.551532713586994,value,available_percent,gyeongnam_campus,javame,192.168.71.74,mem,server_data,server_room
,,0,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:31:20Z,32.482589878583866,value,available_percent,gyeongnam_campus,javame,192.168.71.74,mem,server_data,server_room
,,0,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:31:30Z,29.78320505697065,value,available_percent,gyeongnam_campus,javame,192.168.71.74,mem,server_data,server_room
,,0,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:31:40Z,30.270140302531225,value,available_percent,gyeongnam_campus,javame,192.168.71.74,mem,server_data,server_room
,,0,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:31:50Z,31.744325982254757,value,available_percent,gyeongnam_campus,javame,192.168.71.74,mem,server_data,server_room
,,0,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:32:00Z,35.124044779206024,value,available_percent,gyeongnam_campus,javame,192.168.71.74,mem,server_data,server_room
,,0,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:32:10Z,35.96842632435274,value,available_percent,gyeongnam_campus,javame,192.168.71.74,mem,server_data,server_room
