#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,interface
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T07:20:00Z,14552245.2,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T07:30:00Z,14690533.966666667,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T07:40:00Z,14830946.516666668,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T07:50:00Z,14968394.8,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T08:00:00Z,15098006.233333332,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T08:10:00Z,15234305.95,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T08:20:00Z,15367347.5,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T08:30:00Z,15496630.333333334,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T08:40:00Z,15616681.683333334,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T08:50:00Z,15747162.1,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T09:00:00Z,15895032.383333333,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T09:10:00Z,16038314.633333333,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T09:20:00Z,16195801.916666666,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T09:30:00Z,16340787.6,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T09:40:00Z,16467139.5,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T09:50:00Z,16596120.8,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T10:00:00Z,16728869.283333333,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T10:10:00Z,16860293,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T10:20:00Z,16982645.183333334,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T10:30:00Z,17119629.6,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T10:40:00Z,17257327.466666665,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T10:50:00Z,17409192.966666665,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T11:00:00Z,17539966.033333335,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T11:10:00Z,17673973.466666665,bytes_recv,net,35c4ab29f7e3,eth0
