#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,cpu,host
,,0,2025-04-19T01:08:49.420022245Z,2025-04-21T01:08:49.420022245Z,2025-04-19T01:10:00Z,99.05514062177758,usage_idle,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:08:49.420022245Z,2025-04-21T01:08:49.420022245Z,2025-04-19T01:20:00Z,99.13159082656144,usage_idle,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:08:49.420022245Z,2025-04-21T01:08:49.420022245Z,2025-04-19T01:30:00Z,99.14723259029027,usage_idle,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:08:49.420022245Z,2025-04-21T01:08:49.420022245Z,2025-04-19T01:40:00Z,99.15199129218175,usage_idle,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:08:49.420022245Z,2025-04-21T01:08:49.420022245Z,2025-04-19T01:50:00Z,99.1383081487843,usage_idle,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:08:49.420022245Z,2025-04-21T01:08:49.420022245Z,2025-04-19T02:00:00Z,99.14603506013376,usage_idle,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:08:49.420022245Z,2025-04-21T01:08:49.420022245Z,2025-04-19T02:10:00Z,99.13910881165177,usage_idle,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:08:49.420022245Z,2025-04-21T01:08:49.420022245Z,2025-04-19T02:20:00Z,99.14048815950655,usage_idle,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:08:49.420022245Z,2025-04-21T01:08:49.420022245Z,2025-04-19T02:30:00Z,99.14191095800857,usage_idle,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:08:49.420022245Z,2025-04-21T01:08:49.420022245Z,2025-04-19T02:40:00Z,99.15102697540475,usage_idle,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:08:49.420022245Z,2025-04-21T01:08:49.420022245Z,2025-04-19T02:50:00Z,99.14765136671103,usage_idle,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:08:49.420022245Z,2025-04-21T01:08:49.420022245Z,2025-04-19T03:00:00Z,99.14727689398347,usage_idle,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:08:49.420022245Z,2025-04-21T01:08:49.420022245Z,2025-04-19T03:10:00Z,99.14670067412644,usage_idle,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:08:49.420022245Z,2025-04-21T01:08:49.420022245Z,2025-04-19T03:20:00Z,99.14944647289889,usage_idle,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:08:49.420022245Z,2025-04-21T01:08:49.420022245Z,2025-04-19T03:30:00Z,99.1477377421783,usage_idle,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:08:49.420022245Z,2025-04-21T01:08:49.420022245Z,2025-04-19T03:40:00Z,99.12908567932848,usage_idle,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:08:49.420022245Z,2025-04-21T01:08:49.420022245Z,2025-04-19T03:50:00Z,99.15004034437445,usage_idle,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:08:49.420022245Z,2025-04-21T01:08:49.420022245Z,2025-04-19T04:00:00Z,99.14927250696825,usage_idle,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:08:49.420022245Z,2025-04-21T01:08:49.420022245Z,2025-04-19T04:10:00Z,99.15505577288614,usage_idle,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:08:49.420022245Z,2025-04-21T01:08:49.420022245Z,2025-04-19T04:20:00Z,99.15118943797559,usage_idle,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:08:49.420022245Z,2025-04-21T01:08:49.420022245Z,2025-04-19T04:30:00Z,99.141298232085,usage_idle,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:08:49.420022245Z,2025-04-21T01:08:49.420022245Z,2025-04-19T04:40:00Z,99.15176487471636,usage_idle,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:08:49.420022245Z,2025-04-21T01:08:49.420022245Z,2025-04-19T04:50:00Z,99.1215981031337,usage_idle,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:08:49.420022245Z,2025-04-21T01:08:49.420022245Z,2025-04-19T05:00:00Z,98.87593680014592,usage_idle,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:08:49.420022245Z,2025-04-21T01:08:49.420022245Z,2025-04-19T05:10:00Z,99.14403464460943,usage_idle,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:08:49.420022245Z,2025-04-21T01:08:49.420022245Z,2025-04-19T05:20:00Z,99.14565183108375,usage_idle,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:08:49.420022245Z,2025-04-21T01:08:49.420022245Z,2025-04-19T05:30:00Z,99.14942082232658,usage_idle,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:08:49.420022245Z,2025-04-21T01:08:49.420022245Z,2025-04-19T05:40:00Z,99.14967781976202,usage_idle,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:08:49.420022245Z,2025-04-21T01:08:49.420022245Z,2025-04-19T05:50:00Z,99.13747170292683,usage_idle,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:08:49.420022245Z,2025-04-21T01:08:49.420022245Z,2025-04-19T06:00:00Z,99.15463705002132,usage_idle,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:08:49.420022245Z,2025-04-21T01:08:49.420022245Z,2025-04-19T06:10:00Z,99.14489248845628,usage_idle,cpu,cpu-total,35c4ab29f7e3
