#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,cpu,host
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T06:50:00Z,0.5205156573030167,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T07:00:00Z,0.5172321773543673,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T07:10:00Z,0.5199176751652245,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T07:20:00Z,0.5206870036613086,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T07:30:00Z,0.5171984162707878,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T07:40:00Z,0.5241156237463326,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T07:50:00Z,0.5190213013991634,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T08:00:00Z,0.5185542085653655,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T08:10:00Z,0.5221746833155043,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T08:20:00Z,0.5317927873225087,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T08:30:00Z,0.5240636933013394,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T08:40:00Z,0.5194766796394358,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T08:50:00Z,0.5201753572848993,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T09:00:00Z,0.5212578239319279,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T09:10:00Z,0.5249904631861904,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T09:20:00Z,0.5188259058330283,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T09:30:00Z,0.5546620313917633,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T09:40:00Z,0.5214843770159489,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T09:50:00Z,0.5210517872794289,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T10:00:00Z,0.5192905615313125,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T10:10:00Z,0.5271832830094535,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T10:20:00Z,0.5347501784174036,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T10:30:00Z,0.5207961427283131,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T10:40:00Z,0.5177666971841665,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T10:50:00Z,0.5303308072872787,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T11:00:00Z,0.5179812816841479,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T11:10:00Z,0.5330935608316136,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T11:20:00Z,0.5197877110431047,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T11:30:00Z,0.5267234092055395,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T11:40:00Z,0.5240315918515428,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T11:50:00Z,0.5238036383264962,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T12:00:00Z,0.5233868497353158,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T12:10:00Z,0.5223201314605536,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T12:20:00Z,0.5235918170202607,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T12:30:00Z,0.5234015088329217,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T12:40:00Z,0.5303101389605568,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T12:50:00Z,0.5200590781911982,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T13:00:00Z,0.5150774214487234,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T13:10:00Z,0.5251943583932401,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T13:20:00Z,0.5247194402379097,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T13:30:00Z,0.5198388076032416,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T13:40:00Z,0.5251035689853796,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T13:50:00Z,0.5332855294633968,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T14:00:00Z,0.5245518038120032,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T14:10:00Z,0.5301311910137938,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T14:20:00Z,0.5233695591155478,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T14:30:00Z,0.5206893207052767,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T14:40:00Z,0.5362435363327483,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T14:50:00Z,0.5228713906465619,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T15:00:00Z,0.5227638661107463,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T15:10:00Z,0.5251576653548063,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T15:20:00Z,0.523043159679895,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T15:30:00Z,0.5242499294281011,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T15:40:00Z,0.5234896007352201,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T15:50:00Z,0.5245578253663926,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T16:00:00Z,0.526140374219749,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T16:10:00Z,0.524174726495389,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T16:20:00Z,0.5193668831379683,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T16:30:00Z,0.5259891637013288,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T16:40:00Z,0.5165571883527195,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T16:50:00Z,0.5328591983207704,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T17:00:00Z,0.5264185541369708,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T17:10:00Z,0.5235062527927378,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T17:20:00Z,0.5192773350859033,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T17:30:00Z,0.5293274802491312,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T17:40:00Z,0.5426578676361239,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T17:50:00Z,0.5231388332038122,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T18:00:00Z,0.5189592890154633,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T18:10:00Z,0.53188207250505,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T18:20:00Z,0.5260919319678489,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T18:30:00Z,0.5185797021427071,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T18:40:00Z,0.5323407046856755,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T18:50:00Z,0.530946012924876,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T19:00:00Z,0.5232885583904253,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T19:10:00Z,0.5187407020533497,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T19:20:00Z,0.5181664772489436,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T19:30:00Z,0.5190401430939503,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T19:40:00Z,0.5220612999672011,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T19:50:00Z,0.5216810562835708,usage_user,cpu,cpu-total,35c4ab29f7e3
