#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host
,,0,2025-04-19T01:12:59.674853843Z,2025-04-21T01:12:59.674853843Z,2025-04-19T01:20:00Z,11.717127689474362,used_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:12:59.674853843Z,2025-04-21T01:12:59.674853843Z,2025-04-19T01:30:00Z,11.718586461777859,used_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:12:59.674853843Z,2025-04-21T01:12:59.674853843Z,2025-04-19T01:40:00Z,11.719274049259976,used_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:12:59.674853843Z,2025-04-21T01:12:59.674853843Z,2025-04-19T01:50:00Z,11.71390767034966,used_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:12:59.674853843Z,2025-04-21T01:12:59.674853843Z,2025-04-19T02:00:00Z,11.719802923739703,used_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:12:59.674853843Z,2025-04-21T01:12:59.674853843Z,2025-04-19T02:10:00Z,11.725564489414042,used_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:12:59.674853843Z,2025-04-21T01:12:59.674853843Z,2025-04-19T02:20:00Z,11.725923227405248,used_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:12:59.674853843Z,2025-04-21T01:12:59.674853843Z,2025-04-19T02:30:00Z,11.733380990800338,used_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:12:59.674853843Z,2025-04-21T01:12:59.674853843Z,2025-04-19T02:40:00Z,11.728328415813843,used_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:12:59.674853843Z,2025-04-21T01:12:59.674853843Z,2025-04-19T02:50:00Z,11.72827448986713,used_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:12:59.674853843Z,2025-04-21T01:12:59.674853843Z,2025-04-19T03:00:00Z,11.729230947205682,used_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:12:59.674853843Z,2025-04-21T01:12:59.674853843Z,2025-04-19T03:10:00Z,11.739559450395268,used_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:12:59.674853843Z,2025-04-21T01:12:59.674853843Z,2025-04-19T03:20:00Z,11.744548854263346,used_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:12:59.674853843Z,2025-04-21T01:12:59.674853843Z,2025-04-19T03:30:00Z,11.743162255812983,used_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:12:59.674853843Z,2025-04-21T01:12:59.674853843Z,2025-04-19T03:40:00Z,11.746142671205993,used_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:12:59.674853843Z,2025-04-21T01:12:59.674853843Z,2025-04-19T03:50:00Z,11.741503975960812,used_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:12:59.674853843Z,2025-04-21T01:12:59.674853843Z,2025-04-19T04:00:00Z,11.738732045521948,used_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:12:59.674853843Z,2025-04-21T01:12:59.674853843Z,2025-04-19T04:10:00Z,11.738509426853254,used_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:12:59.674853843Z,2025-04-21T01:12:59.674853843Z,2025-04-19T04:20:00Z,11.743662710888195,used_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:12:59.674853843Z,2025-04-21T01:12:59.674853843Z,2025-04-19T04:30:00Z,11.747464502795976,used_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:12:59.674853843Z,2025-04-21T01:12:59.674853843Z,2025-04-19T04:40:00Z,11.757113929127256,used_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:12:59.674853843Z,2025-04-21T01:12:59.674853843Z,2025-04-19T04:50:00Z,11.766158239973812,used_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:12:59.674853843Z,2025-04-21T01:12:59.674853843Z,2025-04-19T05:00:00Z,11.79746107423039,used_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:12:59.674853843Z,2025-04-21T01:12:59.674853843Z,2025-04-19T05:10:00Z,11.761582639859336,used_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:12:59.674853843Z,2025-04-21T01:12:59.674853843Z,2025-04-19T05:20:00Z,11.761784564540964,used_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:12:59.674853843Z,2025-04-21T01:12:59.674853843Z,2025-04-19T05:30:00Z,11.763785194367651,used_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:12:59.674853843Z,2025-04-21T01:12:59.674853843Z,2025-04-19T05:40:00Z,11.77898511783688,used_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:12:59.674853843Z,2025-04-21T01:12:59.674853843Z,2025-04-19T05:50:00Z,11.771264994199397,used_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:12:59.674853843Z,2025-04-21T01:12:59.674853843Z,2025-04-19T06:00:00Z,11.775187049327005,used_percent,mem,35c4ab29f7e3
