#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#default,mean,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,chip,feature,host
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T06:20:00Z,32.05833333333333,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T06:30:00Z,32.21666666666667,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T06:40:00Z,32.35,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T06:50:00Z,32.15,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T07:00:00Z,32.641666666666666,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T07:10:00Z,32.975,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T07:20:00Z,32.708333333333336,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T07:30:00Z,32.516666666666666,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T07:40:00Z,32.63333333333333,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T07:50:00Z,32.13333333333333,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T08:00:00Z,32.175,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T08:10:00Z,31.85,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T08:20:00Z,31.808333333333334,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
