#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T01:20:00Z,87.33066488802734,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T01:30:00Z,87.32984066450629,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T01:40:00Z,87.32915029080799,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T01:50:00Z,87.33452082371325,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T02:00:00Z,87.3286218469253,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T02:10:00Z,87.32286641092652,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T02:20:00Z,87.32297471874614,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T02:30:00Z,87.31591292732152,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T02:40:00Z,87.32096061376508,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T02:50:00Z,87.32102054274115,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T03:00:00Z,87.32006254031907,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T03:10:00Z,87.30973408778793,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T03:20:00Z,87.30474397470124,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T03:30:00Z,87.3061294333359,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T03:40:00Z,87.3031529946332,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T03:50:00Z,87.30778723193252,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T04:00:00Z,87.31056146733202,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T04:10:00Z,87.31078198367398,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T04:20:00Z,87.30562834502979,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T04:30:00Z,87.30182728766991,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T04:40:00Z,87.29217849456951,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T04:50:00Z,87.28313210672543,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T05:00:00Z,87.25183228664822,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T05:10:00Z,87.2877079348031,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T05:20:00Z,87.28750687131554,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T05:30:00Z,87.2855024927617,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T05:40:00Z,87.27031452469262,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T05:50:00Z,87.27802927853173,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T06:00:00Z,87.27410778064737,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T06:10:00Z,87.26867625493807,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T06:20:00Z,87.26875158409051,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T06:30:00Z,87.27188883812232,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T06:40:00Z,87.2680864129836,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T06:50:00Z,87.26750204214441,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T07:00:00Z,87.30587332941519,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T07:10:00Z,87.31223279174155,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T07:20:00Z,87.31107159817597,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T07:30:00Z,87.30718122992458,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T07:40:00Z,87.30218463255301,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T07:50:00Z,87.29862470953442,available_percent,mem,35c4ab29f7e3
