#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,cpu,host
,,0,2025-04-19T01:09:26.749991424Z,2025-04-21T01:09:26.749991424Z,2025-04-19T01:10:00Z,0.01046192418532778,usage_iowait,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:09:26.749991424Z,2025-04-21T01:09:26.749991424Z,2025-04-19T01:20:00Z,0.007738416151383334,usage_iowait,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:09:26.749991424Z,2025-04-21T01:09:26.749991424Z,2025-04-19T01:30:00Z,0.008786881820570247,usage_iowait,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:09:26.749991424Z,2025-04-21T01:09:26.749991424Z,2025-04-19T01:40:00Z,0.008260805868400204,usage_iowait,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:09:26.749991424Z,2025-04-21T01:09:26.749991424Z,2025-04-19T01:50:00Z,0.008260725983002959,usage_iowait,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:09:26.749991424Z,2025-04-21T01:09:26.749991424Z,2025-04-19T02:00:00Z,0.007948137871309052,usage_iowait,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:09:26.749991424Z,2025-04-21T01:09:26.749991424Z,2025-04-19T02:10:00Z,0.007738312367993178,usage_iowait,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:09:26.749991424Z,2025-04-21T01:09:26.749991424Z,2025-04-19T02:20:00Z,0.008364799175167713,usage_iowait,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:09:26.749991424Z,2025-04-21T01:09:26.749991424Z,2025-04-19T02:30:00Z,0.008364536464767296,usage_iowait,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:09:26.749991424Z,2025-04-21T01:09:26.749991424Z,2025-04-19T02:40:00Z,0.008470537973950538,usage_iowait,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:09:26.749991424Z,2025-04-21T01:09:26.749991424Z,2025-04-19T02:50:00Z,0.007841243531032646,usage_iowait,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:09:26.749991424Z,2025-04-21T01:09:26.749991424Z,2025-04-19T03:00:00Z,0.008993544979471834,usage_iowait,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:09:26.749991424Z,2025-04-21T01:09:26.749991424Z,2025-04-19T03:10:00Z,0.009724509626284251,usage_iowait,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:09:26.749991424Z,2025-04-21T01:09:26.749991424Z,2025-04-19T03:20:00Z,0.009620581234161754,usage_iowait,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:09:26.749991424Z,2025-04-21T01:09:26.749991424Z,2025-04-19T03:30:00Z,0.009723709249370192,usage_iowait,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:09:26.749991424Z,2025-04-21T01:09:26.749991424Z,2025-04-19T03:40:00Z,0.010665051590654673,usage_iowait,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:09:26.749991424Z,2025-04-21T01:09:26.749991424Z,2025-04-19T03:50:00Z,0.00794806013262434,usage_iowait,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:09:26.749991424Z,2025-04-21T01:09:26.749991424Z,2025-04-19T04:00:00Z,0.007738546762018068,usage_iowait,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:09:26.749991424Z,2025-04-21T01:09:26.749991424Z,2025-04-19T04:10:00Z,0.0069012891600027364,usage_iowait,cpu,cpu-total,35c4ab29f7e3
